Family,TaxonName,Genus,Species,InfraName1,InfraName2,InfraName3,Cultivar,TradeName,CommonNameAll,Distribution,LifeForm,QRCodeURL,NameID
Bromeliaceae,Catopsis sessiliflora,Catopsis,sessiliflora,,,,,,"Sessileleaf Strap Airplant, Catopsis",Southern Mexico to Brazil,Herbaceous perennial,taxon-14507.aspx?qr=0,14507
Orchidaceae,Cattleya Park Ridge gx 'Verda Dale',Cattleya,,Park Ridge,,,'Verda Dale',,Cattleya Orchid,Interspecies Hybrid,Epiphyte,taxon-149736.aspx?qr=0,149737
Orchidaceae,Cattleya Rowena gx,Cattleya,,Rowena,,,,,Cattleya Orchid,Interspecies Hybrid,Epiphyte,taxon-149745.aspx?qr=0,149746
Orchidaceae,Cattleya Irish Helen gx,Cattleya,,Irish Helen,,,,,Cattleya,Interspecies Hybrid,Epiphyte,taxon-150597.aspx?qr=0,150603
Orchidaceae,Cattleya Portia gx,Cattleya,,Portia,,,,,Cattleya Orchid,Interspecies Hybrid,Epiphyte,taxon-149742.aspx?qr=0,149743
Orchidaceae,Cattleya cernua,Cattleya,cernua,,,,,,"Cattleya Orchid, Nodding Sophronitis","Brazil, NE Argentina",Epiphyte,taxon-16502.aspx?qr=0,16502
Orchidaceae,Cattleya dowiana,Cattleya,dowiana,,,,,,"Cattleya Orchid, Dow's Cattleya, Queen Cattleya",Costa Rica,Epiphyte,taxon-2496.aspx?qr=0,2496
Orchidaceae,Cattleya gaskelliana,Cattleya,gaskelliana,,,,,,Cattleya Orchid,"Colombia, Venezuela",Epiphyte,taxon-149818.aspx?qr=0,149822
Orchidaceae,Cattleya grandis,Cattleya,grandis,,,,,,Cattleya,Brazil (Bahia),Epiphyte,taxon-150277.aspx?qr=0,150282
Orchidaceae,Cattleya harpophylla,Cattleya,harpophylla,,,,,,"Cattleya, Sickle-leaf Laelia","Brazil (Minas Gerais, Espírito Santo)",Epiphyte,taxon-150741.aspx?qr=0,150747
Orchidaceae,Cattleya intermedia,Cattleya,intermedia,,,,,,Cattleya,Brazil,Epiphyte,taxon-2498.aspx?qr=0,2498
Orchidaceae,Cattleya lobata,Cattleya,lobata,,,,,,"Cattleya, Lobed Laelia",SE Brazil,Epiphyte,taxon-150742.aspx?qr=0,150748
Orchidaceae,Cattleya loddigesii,Cattleya,loddigesii,,,,,,,"Brazil, Paraguay",Epiphyte,taxon-2500.aspx?qr=0,2500
Orchidaceae,Cattleya luteola,Cattleya,luteola,,,,,,Cattleya,"Brazil (Amazonas), Peru, Ecuador, Bolivia",Epiphyte,taxon-150470.aspx?qr=0,150475
Orchidaceae,Cattleya mooreana,Cattleya,mooreana,,,,,,Cattleya,Peru,Epiphyte,taxon-150432.aspx?qr=0,150437
Orchidaceae,Cattleya mossiae,Cattleya,mossiae,,,,,,Cattleya Orchid,Venezuela,Epiphyte,taxon-149819.aspx?qr=0,149823
Orchidaceae,Cattleya perrinii,Cattleya,perrinii,,,,,,Cattleya,SE Brazil,Epiphyte,taxon-150587.aspx?qr=0,150593
Orchidaceae,Cattleya pumila,Cattleya,pumila,,,,,,Cattleya Orchid,E Brazil,Epiphyte,taxon-150175.aspx?qr=0,150180
Orchidaceae,Cattleya purpurata,Cattleya,purpurata,,,,,,Cattleya Orchid,Brazil,Epiphyte,taxon-149821.aspx?qr=0,149825
Orchidaceae,Cattleya schroederae,Cattleya,schroederae,,,,,,"Baroness Schroeder's Cattleya, The Easter Cattleya, Cattleya de Pascua",Colombia,Epiphyte,taxon-17516.aspx?qr=0,17516
Orchidaceae,Cattleya sincorana,Cattleya,sincorana,,,,,,Cattleya Orchid,Brazil,Epiphyte,taxon-149724.aspx?qr=0,149724
Orchidaceae,Cattleya trianae,Cattleya,trianae,,,,,,"Cattleya Orchid, Christmas Orchid",Colombia,Epiphyte,taxon-2506.aspx?qr=0,2506
Berberidaceae,Caulophyllum thalictrioides,Caulophyllum,thalictrioides,,,,,,"Blue Cohosh, Papoose Root, Squaw Root",Eastern North America,Herbaceous perennial,taxon-2507.aspx?qr=0,2507
Ericaceae,Cavendishia adenophora,Cavendishia,adenophora,,,,,,Cavendishia,Columbia,Shrub/sub-shrub,taxon-16492.aspx?qr=0,16492
Ericaceae,Cavendishia bracteata,Cavendishia,bracteata,,,,,,Ecuadorian Gualicón,Cent. and N South America,Shrub/sub-shrub,taxon-12864.aspx?qr=0,12864
Ericaceae,Cavendishia grandifolia,Cavendishia,grandifolia,,,,,,Cavendishia,Ecuador,Shrub/sub-shrub,taxon-12856.aspx?qr=0,12856
Rhamnaceae,Ceanothus americanus,Ceanothus,americanus,,,,,,"New Jersey Tea, Redroot","Eastern North America, W to Texas",Shrub/sub-shrub,taxon-2508.aspx?qr=0,2508
Urticaceae,Cecropia palmata,Cecropia,palmata,,,,,,Smokewood Tree,West Indies to Brazil,Tree,taxon-2512.aspx?qr=0,2512
Pinaceae,Cedrus libani var. stenocoma,Cedrus,libani,stenocoma,,,,,Cedar of Lebanon,"Turkey, Lebanon, Aegean",Tree,taxon-15180.aspx?qr=0,15180
Malvaceae,Ceiba acuminata,Ceiba,acuminata,,,,,,Silk Cotton Tree,Mexico to Honduras,Tree,taxon-2520.aspx?qr=0,2520
Celastraceae,Celastrus scandens,Celastrus,scandens,,,,,,American Bittersweet,Central & E. Canada to N. & E. & Central U.S.A.,Vine/liana,taxon-2524.aspx?qr=0,2524
Amaranthaceae,Celosia argentea,Celosia,argentea,,,,,,Cockscomb,Pantropical,Herbaceous perennial,taxon-2528.aspx?qr=0,2528
Cannabaceae,Celtis occidentalis,Celtis,occidentalis,,,,,,Hackberry,North America,Tree,taxon-2532.aspx?qr=0,2532
Cannabaceae,Celtis occidentalis × laevigata 'Magnifica',Celtis,occidentalis × laevigata,,,,'Magnifica',,Magnifica Hackberry,Interspecies hybrid,Tree,taxon-13945.aspx?qr=0,13945
Cannabaceae,Celtis tenuifolia,Celtis,tenuifolia,,,,,,Dwarf Hackberry,Eastern U.S.,Shrub/sub-shrub,taxon-14447.aspx?qr=0,14447
Asteraceae,Centaurea cyanus,Centaurea,cyanus,,,,,,Cornflower,Eurasia,Herbaceous perennial,taxon-2535.aspx?qr=0,2535
